"","name","DiffBind_Mean_FC","TOBIAS_Mean_FC"
"77","MAX",-0.0311022372076578,-0.00932
"54","HES1",-0.907160483373071,-0.00936
"29","ELF2",-0.127552638059194,-0.01063
"172","TFAP4",-0.204256871446067,-0.0116575
"105","NR1D1",-0.156042233899895,-0.01178
"224","ZSCAN21",-0.218773572036823,-0.0126
"157","SP9",-0.391240346890841,-0.01283
"185","ZBTB18",-0.219871887483556,-0.01309
"198","ZNF175",-0.0473088861090262,-0.01385
"59","HNF4G",-0.0927516048793691,-0.01456
"71","KLF12",-0.22096136095568,-0.01487
"155","SP2",-0.14139179653304,-0.01498
"48","GABPA",-0.187692360076961,-0.01503
"102","NKX2-4",-0.161177182795272,-0.0154
"162","TBX4",-0.189722956728974,-0.01609
"38","ETV6",-0.140270237687516,-0.01618
"88","MTF1",-0.107085212851313,-0.01647
"144","RXRA",-0.021340691657557,-0.0171566666666667
"132","RARA",-0.0265118499843471,-0.0174025
"176","THRA",-0.324093378672041,-0.01754
"93","NFE2L1",-0.184327669170145,-0.01803
"27","EHF",-0.205422438884271,-0.0182
"25","EGR2",-0.408274455748968,-0.01826
"211","ZNF449",-0.493001039302837,-0.01852
"150","SNAI2",-0.092484801040325,-0.01858
"141","RORC",-0.873591192464029,-0.01936
"179","USF1",-0.0185748525945243,-0.01984
"69","KLF10",-0.30508622327002,-0.02054
"9","BATF",-0.183716272042522,-0.02069
"10","BATF3",-0.0980879360356876,-0.02069
"13","BNC2",-0.371497760671668,-0.02069
"72","KLF14",-0.108913488993414,-0.02114
"164","TCF3",-0.0517329516517789,-0.02139
"151","SNAI3",-0.0429640858210047,-0.02147
"23","E2F6",-0.227889298372372,-0.02196
"112","NR4A2",-0.124440746395714,-0.02291
"221","ZNF75A",-0.203962582111355,-0.0238
"142","RREB1",-0.0456755296921457,-0.02411
"158","SREBF1",-0.150109578401152,-0.02504
"35","ETV1",-0.0978354199211419,-0.025865
"218","ZNF684",-0.120240777179287,-0.02594
"134","RBPJ",-0.347068007005057,-0.02615
"136","RELB",-0.0752504240158824,-0.02619
"21","E2F1",-0.124700684494532,-0.02701
