"","name","CD4_avgLogFC","CD8_avgLogFC"
"231","RAX2",0.09264,0.08463
"232","REV",0.1063,0.09818
"233","RLM1",0.06415,0.0829
"234","RVE1",0.09176,0.07983
"235","RVE4",0.09276,0.08109
"236","RVE5",0.09321,0.07967
"237","RVE6",0.09553,0.07989
"238","RVE7",0.09834,0.0833
"239","RVE7L",0.09551,0.08594
"240","RVE8",0.09839,0.07615
"241","SATB1",0.09548,0.09661
"242","SEP1",0.0706,0.07604
"243","SFP1",0.09667,0.07829
"244","SHOX",0.09264,0.08463
"245","SKO1",0.06264,0.07966
"246","SOL1",0.08602,0.06982
"247","SOX14",0.06741,0.09442
"248","SOX15",0.09503,0.12978
"249","SOX18",0.08431,0.08477
"250","SOX2",0.10302,0.073625
"251","SOX21",0.09949,0.06488
"252","SOX8",0.08559,0.10417
"253","SOX9",0.06393,0.09414
"254","SPL15B",0.10634,0.11598
"255","SPL5B",0.11222,0.08184
"256","SPL8",0.12239,0.06767
"257","SPL8A",0.07666,0.10626
"258","SPL8B",0.07835,0.09924
"259","SPL8D1",0.11283,0.07322
"260","SPT15",0.15663,0.13071
"261","SPT2",0.08904,0.06116
"262","SRY",0.08436,0.07707
"263","STB3",0.08431,0.08314
"264","SUM1",0.09195,0.07585
"265","TAL1",0.07021,0.07592
"266","TBP",0.12575,0.12039
"267","TCX2",0.08042,0.06074
"268","TCX3",0.07176,0.07245
"269","TCX6",0.08753,0.07242
"270","TLX2",0.09264,0.08463
"271","TOS8",0.05397,0.05315
"272","TRB2",0.06813,0.05773
"273","TSO1",0.07586,0.06756
"274","UNCX",0.09264,0.08463
"275","VAX1",0.07751,0.08371
"276","VAX2",0.09264,0.08463
"277","VENTX",0.08132,0.05315
"278","VSX1",0.07807,0.08435
"279","VSX2",0.07807,0.08435
"280","WRKY45",0.05954,0.05983
"281","WRKY50",0.05818,0.07211
"282","WRKY59",0.06495,0.05408
"283","WRKY71",0.06572,0.05171
"284","YHP1",0.10845,0.08861
"285","YOX1",0.10613,0.08212
"286","ZAT6",0.09895,0.09005
"287","ZHD1",0.10626,0.08592
"288","ZHD10",0.08215,0.08398
"289","ZHD14",0.10711,0.08264
"290","ZHD3",0.10381,0.10527
"291","ZHD5",0.08224,0.06021
"292","ZHD6",0.09895,0.07974
"293","ZHD9",0.10999,0.08748
"294","ZNF157",0.08729,0.05993
"295","ZNF211",0.09938,0.1273
"296","ZNF24",0.08056,0.05199
"297","ZNF35",0.10984,0.08271
"298","ZNF354A",0.09014,0.07434
"299","ZNF558",0.10005,0.08447
"300","ZNF8",0.0914,0.11794
