"","output_prefix","name","motif_id","cluster","total_tfbs","CD8_Good_mean_score","CD8_Good_bound","CD8_Poor_mean_score","CD8_Poor_bound","CD8_Good_CD8_Poor_change","CD8_Good_CD8_Poor_pvalue","CD8_Good_CD8_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"325","FOSL2_MA0478.2","FOSL2","MA0478.2","C_fos-1",10400,0.43858,291,0.54632,324,-0.0219,1.02021e-39,"False","Not Significant",38.9913104238714,5,"Capped"
"326","FOSL2JUN_MA1130.2","FOSL2::JUN","MA1130.2","C_fos-1",5111,0.51463,240,0.62118,264,-0.00692,7.30459e-09,"False","Not Significant",8.13640415560028,5,"Capped"
"327","FOSL2JUN_MA1131.2","FOSL2::JUN","MA1131.2","C_JDP2",4112,0.88783,813,0.95539,864,0.06953,5.15742e-67,"False","Up_CD8_Good",66.2875674999187,5,"Capped"
"328","FOSL2JUNB_MA1138.2","FOSL2::JUNB","MA1138.2","C_fos-1",5733,0.47106,196,0.57325,217,-0.00368,0.00815976,"False","Not Significant",2.0883226148011,2.0883226148011,"Not Capped"
"329","FOSL2JUNB_MA1139.2","FOSL2::JUNB","MA1139.2","C_JDP2",3168,0.94023,684,0.99229,724,0.09587,5.65346e-74,"False","Up_CD8_Good",73.2476856762533,5,"Capped"
"330","FOSL2JUND_MA1144.2","FOSL2::JUND","MA1144.2","C_fos-1",4962,0.49448,195,0.60207,216,-0.01074,5.30475e-12,"False","Not Significant",11.2753350785259,5,"Capped"
"331","FOSL2JUND_MA1145.2","FOSL2::JUND","MA1145.2","C_JDP2",4148,0.87659,806,0.9442,839,0.06805,1.41237e-63,"False","Up_CD8_Good",62.8500515158136,5,"Capped"
"332","FOXA1_MA0148.5","FOXA1","MA0148.5","C_FKH1",10381,0.42935,272,0.49171,299,0.04649,3.55652e-80,"False","Not Significant",79.4489747447153,5,"Capped"
"333","FOXA2_MA0047.4","FOXA2","MA0047.4","C_FKH1",10244,0.40933,272,0.49209,311,0.0148,2.51625e-35,"False","Not Significant",34.5992462121033,5,"Capped"
"334","FOXA3_MA1683.2","FOXA3","MA1683.2","C_FKH1",8151,0.41814,241,0.50837,276,-0.00143,0.9376,"False","Not Significant",0.0279824013259846,0.0279824013259846,"Not Capped"
"335","FOXC2_MA0846.2","FOXC2","MA0846.2","C_FOXC2",21083,0.36055,272,0.40845,324,0.07796,6.45284e-108,"True","Up_CD8_Good",107.190249103214,5,"Capped"
"336","FOXD1_MA0031.2","FOXD1","MA0031.2","C_FKH1",14848,0.4173,355,0.48091,392,0.04799,8.50898e-80,"False","Not Significant",79.070122497133,5,"Capped"
"337","FOXD2_MA0847.4","FOXD2","MA0847.4","C_FOXE1",20508,0.36084,271,0.41169,325,0.07227,1.41613e-109,"True","Up_CD8_Good",108.848896876808,5,"Capped"
"338","FOXD3_MA0041.3","FOXD3","MA0041.3","C_FOXD3",29809,0.35105,365,0.40407,419,0.06983,1.9155e-110,"True","Up_CD8_Good",109.717717843681,5,"Capped"
"339","FOXE1_MA1487.3","FOXE1","MA1487.3","C_FOXE1",28795,0.35986,348,0.4174,397,0.05827,3.35862e-100,"False","Up_CD8_Good",99.4738391301979,5,"Capped"
"340","FOXF2_MA0030.2","FOXF2","MA0030.2","C_FOXF2",11400,0.41692,296,0.47163,305,0.0579,3.17889e-82,"False","Up_CD8_Good",81.497724499836,5,"Capped"
"341","FOXH1_MA0479.2","FOXH1","MA0479.2","C_FOXH1",10167,0.42004,222,0.46827,242,0.07003,3.4848e-92,"False","Up_CD8_Good",91.4578221419243,5,"Capped"
"342","FOXJ2ELF1_MA1952.2","FOXJ2::ELF1","MA1952.2","C_FOXJ2::ELF1",16698,0.59288,1134,0.67694,1285,0.02915,2.48987e-61,"False","Not Significant",60.6038233275053,5,"Capped"
"343","PITX1_MA0682.3","PITX1","MA0682.3","C_unc-30",16969,0.42444,443,0.48176,425,0.04511,4.50601e-80,"False","Not Significant",79.3462078487995,5,"Capped"
"344","FOXK1_MA0852.3","FOXK1","MA0852.3","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"345","FOXK2_MA1103.3","FOXK2","MA1103.3","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"346","FOXO1ELF1_MA1953.2","FOXO1::ELF1","MA1953.2","C_FOXO1::ELK1",15854,0.51559,605,0.58933,700,0.04148,6.65763e-70,"False","Not Significant",69.1766803445689,5,"Capped"
"347","FOXO1ELK1_MA1954.2","FOXO1::ELK1","MA1954.2","C_FOXO1::ELK1",16216,0.55855,844,0.64764,979,0.019,1.34509e-45,"False","Not Significant",44.8712486560365,5,"Capped"
"348","FOXO1ELK3_MA1955.2","FOXO1::ELK3","MA1955.2","C_FOXO1::ELK1",12788,0.54015,597,0.62455,711,0.02323,1.53113e-46,"False","Not Significant",45.8149879341314,5,"Capped"
